day;product;requested_qty_today;produced_qty;scrap_qty;good_qty;time_spent_producing_min;setup_spent_min;total_cost_eur
1;IS;107;107;3;104;214.0;0.0;149.8
1;IR;78;78;3;75;195.0;30.0;151.5
1;IAP;138;3;0;3;10.0;30.0;21.4
2;IS;92;92;2;90;184.0;30.0;143.8
2;IR;112;94;3;91;235.0;30.0;179.5
3;IS;143;143;4;139;286.0;30.0;215.2
3;IR;85;53;2;51;132.5;30.0;107.75
4;IS;70;70;2;68;140.0;30.0;113.0
4;IR;151;112;4;108;280.0;30.0;211.0
5;IS;104;104;3;101;208.0;30.0;160.6
5;IR;144;84;3;81;210.0;30.0;162.0
6;IS;100;100;3;97;200.0;30.0;155.0
6;IR;189;88;3;85;220.0;30.0;169.0
7;IS;58;58;1;57;116.0;30.0;96.2
7;IR;225;121;4;117;302.5;30.0;226.75
8;IS;121;121;3;118;242.0;30.0;184.4
8;IR;185;71;2;69;177.5;30.0;139.25
9;IS;147;147;4;143;294.0;30.0;220.8
9;IR;189;50;2;48;125.0;30.0;102.5
10;IS;144;144;4;140;288.0;30.0;216.6
10;IR;198;52;2;50;130.0;30.0;106.0
11;IS;125;125;3;122;250.0;30.0;190.0
11;IR;268;68;2;66;170.0;30.0;134.0
12;IS;150;150;4;146;300.0;30.0;225.0
12;IR;255;48;1;47;120.0;30.0;99.0
13;IS;107;107;3;104;214.0;30.0;164.8
13;IR;311;82;3;79;205.0;30.0;158.5
14;IS;88;88;2;86;176.0;30.0;138.2
14;IR;362;97;3;94;242.5;30.0;184.75
15;IS;103;103;3;100;206.0;30.0;159.2
15;IR;338;85;3;82;212.5;30.0;163.75
16;IS;91;91;2;89;182.0;30.0;142.4
16;IR;370;95;3;92;237.5;30.0;181.25
17;IS;125;125;3;122;250.0;30.0;190.0
17;IR;362;68;2;66;170.0;30.0;134.0
18;IS;107;107;3;104;214.0;30.0;164.8
18;IR;397;82;3;79;205.0;30.0;158.5
19;IS;71;71;2;69;142.0;30.0;114.4
19;IR;365;111;4;107;277.5;30.0;209.25
20;IS;71;71;2;69;142.0;30.0;114.4
20;IR;335;111;4;107;277.5;30.0;209.25
21;IS;74;74;2;72;148.0;30.0;118.6
21;IR;339;108;4;104;270.0;30.0;204.0
22;IS;134;134;4;130;268.0;30.0;202.6
22;IR;362;60;2;58;150.0;30.0;120.0
23;IS;111;111;3;108;222.0;30.0;170.4
23;IR;414;79;3;76;197.5;30.0;153.25
24;IS;111;111;3;108;222.0;30.0;170.4
24;IR;481;79;3;76;197.5;30.0;153.25
25;IS;136;136;4;132;272.0;30.0;205.4
25;IR;490;59;2;57;147.5;30.0;118.25
26;IS;118;118;3;115;236.0;30.0;180.2
26;IR;515;73;2;71;182.5;30.0;142.75
27;IS;85;85;2;83;170.0;30.0;134.0
27;IR;574;100;4;96;250.0;30.0;190.0
28;IS;84;84;2;82;168.0;30.0;132.6
28;IR;559;100;4;96;250.0;30.0;190.0
29;IS;124;124;3;121;248.0;30.0;188.6
29;IR;517;68;2;66;170.0;30.0;134.0
30;IS;50;50;1;49;100.0;30.0;85.0
30;IR;523;128;5;123;320.0;30.0;239.0
